city,rating,industry,title,homepage_available,phone,html5,address,homepage,email
Darmstadt,0.0,Augenarzt,Dr. Hessemer Augenklinik GmbH,1,06151 406630,1,"Martinspfad 72, 64285, Darmstadt",http://www.hessemer-augen.de/,info@hessemer-augen.de
Berlin,5.0,Zahnarzt und Kieferorthopäde,ZZB - Zahnmedizinisches Zentrum Berlin,1,030 7055090,1,"Bahnhofstr. 9, 12305, Berlin",http://www.zzb.de/,info@ZZB.de
Usingen,0.0,Niedergelassene Zahnärzte für Kieferorthopädie,Fachpraxis für Kieferorthopädie Dr. Markus Schweitzer,1,06081 44490,0,"Wilhelmjstr. 2, 61250, Usingen",http://www.dr-schweitzer.de/,praxis@dr-schweitzer.de
Mainz,0.0,Zahnarzt,Oralchirurgische Zaharztpraxis Dr. med. dent T. Tsantilis,1,06131 85464,0,"Heiligkreuzweg  90, 55130, Mainz",http://www.dr-tsantilis.de/,praxis@dr-tsantilis.de
Frankfurt am Main,0.0,Chirurg,Eurion Privatklinik,1,069 50927611,0,"Eysseneckstr.  24, 60322, Frankfurt am Main",http://www.eurionprivatklinik.de/,info@eurion-privatklinik.de
Berlin,0.0,Zahnarzt,Zahnarztpraxis Jacob und Jacob,1,030 3334807,1,"Carl-Schurz-Str.  35, 13597, Berlin",http://www.zahnarztjacob.de/,praxis@zahnarztjacob.de
Berlin,0.0,Zahnarzt,Zahnarztpraxis im Gesundbrunnen-Center Berlin,1,030 4945040,0,"Badstr.  4, 13357, Berlin",http://www.gesunde-zaehne-lebenslang.de/,praxis@gesunde-zaehne-lebenslang.de
Berlin,4.0,Augenarzt,Augenlaser-Zentrum Berlin Lichterfelde-West Dr. Christoph Wiemer und Dr. Dr. Peter Kaulen  ,1,030 84309176,1,"Drakestr.  31, 12205, Berlin",http://www.lasik-lasek-prk.de/,augenarzt@augen-berlin.de
Frankfurt am Main,4.0,HNO-Arzt,Gemeinschaftspraxis Sachsenhausen,1,069 5077580,1,"Dreieichstr.  59, 60594, Frankfurt am Main",http://www.hno-doktor.de/,Info@HNO-Doktor.de
Chemnitz,0.0,Zahnarzt,Zahnarztpraxis und Labor Lehnguth Liedtke Krabe & Kollegen,1,0371 427816,1,"Wilhelm-Külz-Platz 10, 09113, Chemnitz",http://www.lueckenlos-chemnitz.de/,rezeption@lehnguth.de
Bad Oeynhausen,0.0,Stripclub & Tabledance,Agentur Gogofabrik,1,0177 8534542,1,"Bahnhofstr. 48, 32545, Bad Oeynhausen",http://www.gogo-fabrik.de,info@gogofabrik.de
Erlangen,0.0,"Online Shop, Sexshop, Unterwäsche Versandhandel",Koeneke Dienstleistungen Ltd.,1,09131 9790280,1,"Buckenhoferweg 51, 91058, Erlangen",http://www.erostoys-shop.de/de/,info@erostoys-shop.de
Berlin,0.0,"Erotische Massage, Massage",Spiritual Tantra Lounge,1,030 26079499,1,"Alt-Moabit 73, 10555, Berlin",http://www.spiritual-tantra.de,info@spiritual-tantra.de
Berlin,0.0,"Stripclub & Tabledance, Unterhaltungskünstler",Mr.People Stripper Berlin,0,0176 61414562,0,"Weißenburger Str. 22, 13595, Berlin",http://www.mrpeople-stripper-berlin.com/,info@mrpeople-stripper-berlin.de
Berlin,5.0,Sexshop,Der Peitschenbär,,0176 99324068,,"Türrschmidtstr. 37, 10317, Berlin",http://www.peitschenbaer.de,
Darmstadt,4.0,Sauna- & Erotikclub,FKK Saunaclub Sharks,1,06151 957970,1,"Otto-Röhm Str. 72, 64293, Darmstadt",http://www.fkk-sharks.de/,fkk.sharks@gmx.de
Berlin,5.0,Erotische Massage,V.I.P. Relax Erotik-Massagen,1,030 91548865,0,"Kantstr. 62, 10627, Berlin",http://www.VIPRelax.eu,Termin@VIPRelax.Berlin
Frankfurt am Main,4.0,Erotische Massage,Pams Massage Lounge,,069 36603462,,"Alte Gasse 5, 60313, Frankfurt am Main",http://www.pams-lounge.de/,
Köln,0.0,Augenarzt,sehkraft Augenzentrum,1,0221 860160,1,"Wolfsstr. 16, 50667, Köln",http://www.sehkraft.de/,mail@sehkraft.de
Berlin,0.0,Augenarzt,sehkraft Augenzentrum,1,030 6204666,1,"Oberwallstr. 7, 10117, Berlin",http://www.sehkraft.de/,mail@sehkraft.de
Hamburg,0.0,Orthopäde,Orthopädie an der Alster,1,040 46063660,0,"Eppendorfer Landstraße 77, 22299, Hamburg",http://www.orthopaedie-alster.de/,praxis@orthopaedie-alster.de
Köln,0.0,Augenarzt,Augenzentrum Klinik links vom Rhein,1,0221 39800240,1,"Schillingsrotter Str.   39-41, 50996, Köln",http://www.augenchirurgie-koeln.de/,ophthalmochirurgie@links-vom-rhein.de
Göppingen,5.0,Sexshop,Erotiklädle,,07161 8081270,,"Bleichstr. 5, 73033, Göppingen",http://www.erotiklaedle.eu,
Köln,4.0,"Bar, Gay",COX-Cologne,1,0221 67764460,0,"Mühlenbach 53, 50676, Köln",http://www.cox-cologne.de/,info@cox-cologne.de
Berlin,0.0,Zahnarzt,Zahnarztpraxis K.Bartsch-Munding und Kollegen,1,030 3951027,0,"Turmstr.  55, 10551, Berlin",http://www.zahnarztpraxis-tiergarten.de/,praxis@bartsch-munding.de
Wuppertal,0.0,Zahnarzt und Kieferorthopäde,Zahnarztpraxis Dr. med. dent. Marcus Flach,1,0202 459021,0,"Wall 32, 42103, Wuppertal",http://www.dr-flach.de/,info@dr-flach.de
Pfinztal,4.0,Zahnarzt und Kieferorthopäde,Zahnarztpraxis Dr. Regine Dressler,1,0721 463103,1,"Steigstr. 5, 76327, Pfinztal",http://www.implantologin.de/,dr_dressler@t-online.de
Dortmund,0.0,Zahnarzt,"Hartmann, Dr. Dr. med. Norbert ",1,0231 5335877,0,"Köln-Berliner-Str. 1, 44287, Dortmund",http://www.zahnmundkiefergesicht.de/,kontakt@zahnmundkiefergesicht.de
Bremen,5.0,Zahnarzt,Zahnarztpraxis Dr. Sylvia Loelke,1,0421 341214,1,"Hollerallee  35, 28209, Bremen",http://www.dr-loelke.de/,praxis@dr-loelke.de
Hannover,0.0,Zahnarzt,Zahnarzt Dr. Dietrich Elberskirch,1,0511 14830,0,"Georgstr. 11, 30159, Hannover",http://www.dr-elberskirch.de/,rezeption@dr-elberskirch.de
Berlin,0.0,Erotische Massage,Tantra Center Berlin,,030 26679498,,"Alt-Moabit 73, 10555, Berlin",http://www.erotic-massage-berlin.de/,
Köln,3.0,"Gay, Schankwirtschaft",Deck5,1,0221 9926704,0,"Mathiasstr. 5, 50676, Köln",http://www.deck-5.de,info@deck-5.de
Frankfurt am Main,5.0,Erotische Massage,Silhouette Massage Studio,1,069 37002655,1,"Westerbachstr. 179, 65936, Frankfurt am Main",http://www.silhouette-massage.de,info@silhouette-massage.de
Marsberg,0.0,Sauna- & Erotikclub,Parkschloss Dali,1,02991 78156,1,"Madfelder Str. 2, 34431, Marsberg",http://www.parkschlossdali.de,info@parkschlossdali.de
Köln,0.0,"Orion, Sexshop",ORION Erotikfachgeschäft Köln,,0221 218430,,"Blaubach 6-8, 50676, Köln",http://www.orion.de,
Frankfurt am Main,0.0,Erotische Massage,Kaskade Erotik Massagestudio,1,069 15341529,0,"Stiftstr. 22, 60313, Frankfurt am Main",http://www.kaskade-massagestudio.de,kaskade-massagestudio@mailfish.de
Frankfurt am Main,0.0,Erotische Massage,Orchidee Massage Frankfurt,1,069 95645265,1,"Carl-Benz-Str. 7, 60314, Frankfurt am Main",http://www.orchideemassage.com/,orchidee-massage@mailfish.de
,,,Gay Sex Messe,,,,,,
Bonn,0.0,HNO-Arzt,HNO Praxis Dr. med. Oliver Hofmann,1,0228 637466,0,"Markt  35, 53111, Bonn",http://www.hno-hofmann.de/,info@hno-hofmann.de
Weinstadt,5.0,Niedergelassene Zahnärzte für Kieferorthopädie,Kieferorthopädie Dr. Michael Konik,1,07151 969400,1,"Strümpfelbacher Str.  21, 71384, Weinstadt",http://www.konik.de/,info@konik.de
Köln,0.0,"Sexkino, Sexshop",Gay & Sex Center,,0221 2405771,,"Mathiasstr. 23, 50676, Köln",http://www.sexundgaycenter.com/,
Dortmund,0.0,Plastischer Chirurg,Clinic im Centrum,1,0231 1657771,0,"Luisenstr. 14, 44137, Dortmund",http://www.clinic-im-centrum.de/,info@clinic-im-centrum.de
Wesel,0.0,"Dienstleistung Unterhaltung & Erholung, Sexshop",X-Sin,1,0281 4058610,1,"Eva-Brinkman-Stege 7, 46485, Wesel",http://www.x-sin.de,kontakt@x-sin.de
Chemnitz,0.0,"Online Shop, Sexshop",Lovertoys-Shop - Ero24-Online-Versand,1,0371 48189406,0,"Theaterstr. 15, 09111, Chemnitz",http://www.lovertoys-shop.de,support@lovertoys-shop.de
Duisburg,0.0,"Chirurg, Krankenhaus",Klinik für Refraktive und Ophthalmo - Chirurgie des EJK Duisburg-Nord,1,0203 5081711,0,"Fahrner Str. 133, 47169, Duisburg",http://www.augenklinik-duisburg.de/,info@augenklinik-duisburg.de
Frankfurt am Main,5.0,Zahnarzt,Praxis für Zahnheilkunde Leister & Schulz,1,069 66076655,0,"Walther-von-Cronberg-Platz  13, 60594, Frankfurt am Main",http://www.implantologie-frankfurt.net/,zahnarztpraxis@leister-schulz.de
Stuttgart,0.0,Zahnarzt,Zahnarztpraxis Stephan Gelhaus,1,0711 6204544,0,"Curiestr. 4, 70563, Stuttgart",http://www.gelhaus.de/,stephan@gelhaus.de
Frankfurt am Main,5.0,"Erotische Massage, Massage",Velvet Massagestudio,1,069 13384949,1,"Bleiden Str. 2, 60311, Frankfurt am Main",http://www.velvet-massage.de/,velvet.massagestudio@gmx.de
Göppingen,0.0,"Möbel & Hausrat Einzelhandel, Sexshop",Birgit Rank Sweet Dreams,1,07161 250113,1,"Karl-Schurz-Str. 43, 73037, Göppingen",http://www.sm-equipment.com,info@sm-equipment.com
Berlin,0.0,Sexshop,argjendbytyqi,0,021564165456,0,"kosmote 15484, 13585, Berlin",http://argjendbytyqi.com,argjend@argjendbytyqi.com
Lüdenscheid,0.0,Zahnarzt und Kieferorthopäde,"Praxis für Zahn-, Mund- und Kieferheilkunde Dr. Nadine Griesenbrock",1,02351 4324333,1,"Knapper Str. 2, 58507, Lüdenscheid",http://www.zahnarztpraxis-griesenbrock.de/,info@zahnarztpraxis-griesenbrock.de
Dresden,5.0,Gynäkologe (Frauenarzt),"Praxis für pränatale Diagnostik, Dres. med. Szendzielorz/Stein/Lausch",1,0351 4810511,0,"Friedrichstr. 32, 01067, Dresden",http://www.praenatal-dresden.de/,info@praenatal-dresden.de
Rheda-Wiedenbrück,0.0,Sexshop,"Doll's Lounge, Barbig & Westphal GbR",1,05242189158,1,"Nelkenweg 26, 33378, Rheda-Wiedenbrück",http://www.dollslounge.de,info@dollslounge.de
Stuttgart,0.0,Sexshop,Beate Uhse Lizenz. SJ discrete store,1,071148999466,1,"Flughafenstraße 43, Im Flughafen Stuttgart Terminal 3 Ebene 2, 70629, Stuttgart",http://www.discrete-store.com,info@discrete-store.com
Köln,0.0,"Gay, Sauna",SAUNABAD VULCANO GmbH,1,0221 216051,0,"Marienplatz 3, 50676, Köln",http://www.sauna-vulcano.de,info@sauna-vulcano.de
Köln,0.0,Urologe,"Urologie am Neumarkt, Dr. med Frank Conrad",1,0221 2806767,1,"Neumarkt 36-38, 50667, Köln",http://www.urologie-am-neumarkt.de/,info@urologie-am-neumarkt.de
Dierdorf,5.0,Sauna- & Erotikclub,FKK-Club Finca Erotica,,02689 9729450,,"Poststr. 20, 56269, Dierdorf",http://www.finca-erotica.com/,
Bonn,5.0,"Beate Uhse, Sexshop",Beate Uhse,,0228 633744,,"Bischofsplatz 4, 53111, Bonn",http://www.beate-uhse.com,
Kaufering,0.0,"Bekleidung Einzelhandel, Sexshop, Unterwäsche Einzelhandel",4moments,1,0819166904,1,"Blumenweg 5, 86916, Kaufering",http://www.4-moments-kaufering.de,info@4-moments-kaufering.de
Berlin,0.0,Zahnarzt und Kieferorthopäde,"Ahlring-Bonaventura, Dr. Christine",1,030 81059690,0,"Berliner Str. 3, 14169, Berlin",http://www.bonaventura-zahn.de/,chrbonaventura@aol.com
